,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
1038,34.77179453,71.93439531,5.217998657,4491.9259299999985,95.58113175,101.7213144,92.98087782,0,0
1039,35.56564396,68.51416075,4.881625366000001,3750.458906,102.7859547,156.01072119999995,85.73527423,0,0
1041,34.3555561,69.82506044,5.227849731,3854.701412,109.052539,181.3708044,88.65763291,0,0
1043,53.13343192,134.7495726,6.05574646,4788.478387,96.20212659,74.89450554,90.84785281,0,0
1046,33.09174649,67.66427471,5.068119507,4897.373067,95.68635942,111.5546803,95.0954167,1,0
1047,18.33797369,31.70358177,3.352605591,3681.631389,106.3739203,275.071033,91.38432699,0,0
1051,9.754404802,4.50458208,1.299932251,998.9527021,98.311523,131.9543366,79.63976784,1,1
1056,5.557344136,4.526045156,1.194258423,3402.61385,100.1742584,155.1965636,108.0235649,1,2
1059,12.27607762,14.10905323,1.889598999,663.9403136,108.51718590000002,198.7269785,89.18140661,1,1
1060,42.8190944,101.3506152,6.074884644,4433.320795000001,109.9200478,200.5259892,100.0380747,0,0
1063,31.30557635,67.09026832,5.363242798,3579.65763,104.1979839,160.3277675,103.6778274,1,0
1066,27.91253049,56.86064181,4.918078003,3075.752108,104.5191388,199.1698144,100.9376458,1,2
1067,18.38956423,30.87543854,3.219509888,2334.716501000001,106.4059979,318.0149795,96.87275968,1,2
1071,60.41502196,116.7063335,5.275923462,4905.208013,94.62454601,59.4480848,78.85013174,0,0
1075,69.59653035,85.31099259999998,5.587669067,4822.648452,49.43427961,28.1746925,79.90834775,0,0
1078,10.32380815,9.960631037,1.3785797119999998,2367.9433,89.00863648,121.1876057,96.76697081,1,2
1083,31.75423435,53.91698822,4.215509644,3438.245412,107.7939618,265.9202995,77.79553088,0,2
1087,7.773062189,0.649288373,0.945609741,1479.692327,107.7604466,110.2333087,90.24902745,1,1
1089,24.73114564,47.44885423,4.629552612,2880.147667,109.99941499999998,375.2993376,101.24730759999998,0,2
1090,29.66307508,53.58271688,4.47524353,3079.153852,109.5234707,319.1273423,86.8661798,0,2
1093,31.59529847,63.06434475,5.153584595,3224.383466,107.0110442,346.447255,91.23007166,0,2
1095,32.90906648,62.17173636,4.570303345,4147.3328740000015,106.1649616,285.62039839999994,83.36680575,0,0
1100,9.125878923,12.5978641,1.860019531,767.3646085,107.7561282,225.3860431,102.7263997,1,1
1104,16.50345752,24.1066614,2.332689819,2332.434557,88.94123771,194.4212076,104.5673092,1,2
1107,67.87727925,121.4430614,6.039949341,4322.736233,108.7566195,34.597472499999995,82.50242768,0,0
1109,29.36265712,40.42585126,3.52519104,3008.367918,106.0348415,224.5480871,66.85061993,0,2
1110,68.75737029,73.83814027,5.397957152999999,4914.993867,65.79148973,32.99429162,76.26305588,0,0
1111,7.667701111,2.781573397,1.003720093,1113.8240529999996,108.6389727,125.6692928,99.61866726,1,1
1112,36.71271434,80.17527825,5.506063843,2728.450211,106.2255515,153.7372987,98.41377416,1,2
1115,49.8367438,105.8973904,4.915233765,4313.774122,108.7568638,143.8880706,87.85034453,1,0
1116,49.96342747,99.81914714,5.34234436,4159.288231,81.04013092,56.13349823,79.24918869,0,0
1119,54.51492184,125.2011459,5.6649151610000015,4291.89783,109.942124,82.2539294,84.90803067,0,0
1120,30.22987639,59.80079524,4.773739624,3919.021375,105.649594,331.6385365000001,92.42427217,0,0
1122,50.4582101,104.5200345,4.884896851000001,4246.374967,103.7355608,124.3763862,87.26932975,0,0
1123,45.4528419,104.7418775,5.831654662999999,4550.239989,99.66964692,79.91438574,84.71330045,0,0
1125,54.85439479,100.695894,4.790328979,4529.841279,109.3565374,101.7780313,72.14242765,0,0
1126,61.99929469,56.22211172,4.55557312,4403.994095,79.84632325,60.00037261,65.27873465,0,0
1131,18.52762548,31.49816577,3.0929620360000003,2871.085426,100.0239396,286.565835,97.67366137,0,2
1132,9.098362031,7.188838471,1.300995483,1880.3375260000007,98.61594838,154.09208180000005,96.08310546,1,1
1133,58.08467745,137.10996469999998,5.856558228,4667.212616,98.05166012,58.97114581,86.13548966,0,0
1134,21.12551826,30.37726743,3.169816284,1956.886956,109.30268909999998,250.7817871,77.50671690000001,0,1
1135,5.388812746,7.021739181,1.3957928469999998,1498.80895,109.600278,150.36519119999997,107.0088634,0,1
1138,37.1690748,79.63851859,5.265126343,3838.30936,109.00594,193.6742583,87.94513433,0,0
1140,9.294556936000001,10.73936584,1.688374634,2573.038027,103.869511,202.3766985,104.6986357,1,2
1142,45.01067132,104.1570895,5.8631964110000006,4440.2839,109.5490322,134.18335430000002,95.39236198,0,0
1144,36.82357874,77.88909801,4.8292376710000005,4796.241448,109.4528947,171.4203972,85.73594247,0,0
1145,32.74617238,64.33198747,4.733682251,4183.755462,98.08422683,127.3679854,93.25108379,1,0
1147,24.95931135,46.85486731,4.21145813,3487.923178,104.0969015,315.1375727,91.82092714,0,2
1152,19.99518171,32.34530698,3.384313965,2450.277552,108.0604297,279.9962961,84.31606645,1,2
1154,36.38983521,76.81098902,5.383323364,4683.593147,107.8897716,178.6901905,94.47744708,1,0
1157,52.57386386,119.3370531,5.394285278,4506.97039,109.0054347,111.35002079999998,84.10810257,0,0
1161,21.6908893,42.26898225,4.303499146,2905.9057190000008,105.9358268,378.5150459,99.07701948,1,2
1162,24.5064743,47.26308184,4.367052612,1685.649066,103.8064344,365.4391202,100.6241336,1,1
1167,29.80557506,60.82177318,5.181366577,4020.136545,109.8714264,377.6984667,98.17113463,0,0
1172,34.63833831,64.40361729,4.573164673,3646.695708,95.4796854,108.776568,87.90418389,0,0
1174,8.610253508,5.021155339,1.092576294,1507.025414,106.3062989,136.2180898,100.8413099,1,1
1178,26.00786979,49.6072526,4.628214722,3283.101086,109.7703148,355.0551977,95.92375273,0,2
1181,66.43660329999999,140.7548,6.022904662999999,4016.99225,91.48180444,39.66289442,81.80394571,0,0
1182,53.61491746,110.6655104,5.228018188,3968.195037,100.3310551,101.4240731,77.45083829,0,0
1184,50.46518904,91.89430486,4.910812378,4119.320672,89.38878703,81.573993,71.73174051,0,0
1185,25.17759794,47.19424859,4.419273071,3753.200761,103.8179387,335.885927,96.4851138,1,0
1187,23.78528383,41.30527333,3.744833374,4197.39962,100.2218495,200.6653629,89.42790966,0,0
1188,22.05569822,39.38455217,3.747767944,1171.843604,109.9387932,322.4711043,97.02127238,0,1
1190,30.76263372,67.88435134,5.833627319,3611.553531,102.5686167,139.80604230000003,100.577193,1,0
1191,13.70316976,18.77366297,2.073578491,1167.286909,105.1762231,234.3327114,100.0780651,1,1
1195,45.8078274,109.6159451,6.175391235,4317.16976,85.97195022,58.07962093,91.81670519,0,0
1199,38.65316735,83.57372335,5.68565979,5005.724207,98.79657664,99.36438201,89.58232105,0,0
1205,17.43307865,26.958038,2.59142395,1205.699734,98.93531463,265.4726565,101.5740048,1,1
1207,11.29697074,11.84826124,1.677567749,461.4440073,109.8828615,181.5330403,89.93756122,1,1
1210,5.250665497,1.412914002,0.8924896240000001,1802.97229,95.56372704,116.5314257,102.040117,1,1
1212,13.14945726,20.11792514,2.627893677,2860.430272,106.883943,257.9141599,91.0709695,1,2
1214,9.323576931,14.33655093,1.863829956,1954.058358,97.4498367,232.7356331,109.4660912,1,1
1222,9.346904152,8.732303079,1.581246338,3494.917542,98.09140005,173.8111358,90.67234237,1,2
1226,33.9859734,71.92607637,5.551939087,2663.727429,109.7012749,235.8976645,92.9336832,0,2
1227,8.946984125,11.32792835,1.6572955319999998,679.2320812999999,109.9830759,206.8103453,107.4875626,1,1
1228,18.42898353,27.45456204,2.774295044,936.1422499,104.094007,292.5550033,103.888146,1,1
1230,42.41471537,103.2256045,6.677011107999999,3994.892878,93.86861937,72.94729122,100.8709158,0,0
1233,39.92691343,90.47167225,5.521277466,4604.571936,108.9864875,180.2479325,95.21048887,0,0
1234,34.82677846,77.35065365,5.326022339,3049.433274,109.606672,183.781551,98.53708195,0,2
1247,40.7907054,88.21370803,5.512369995,4282.008759,95.95333034,85.44377696,83.08092538,1,0
1252,14.79662085,25.58732636,2.916315308,978.2129106,109.927906,299.6315144,99.13062689,0,1
1253,16.60900677,19.5064474,2.410014038,1373.6498789999996,106.1339707,197.7787626,70.85735769,1,1
1254,13.08867845,17.71620505,2.263781738,2761.5253620000008,107.5607716,232.9327816,94.39677022,1,2
1255,18.34408788,32.72076569,3.911929321,2341.380016,92.33510385,159.32824530000005,105.0618346,1,2
1257,14.03687661,13.04492254,1.7353094480000002,1414.461907,109.1106587,152.9334034,81.06374976,0,1
1258,62.91895514,149.4628169,6.076480103,4312.509545,75.46954329,43.87014632,88.68082577,0,0
1262,14.61188536,10.82626842,1.87531189,1871.839198,109.9515225,149.8444801,66.20517708,1,1
1263,33.70971703,68.26293128,5.101384888,3401.484537,109.1044019,196.5270643,91.52039309,0,2
1265,23.39728226,40.49618759,3.835169067,1908.821856,98.86096493,306.5843335,89.65953409,0,1
1266,15.44415889,24.43207442,2.738981323,1678.7427760000005,107.4583248,299.9132594,108.026368,1,1
1268,10.03726656,10.11817739,1.525479736,1737.622485,98.46766009,173.87210249999995,93.41827634,1,1
1269,28.0418285,55.92385781,5.059586792,3279.920468,108.4192125,330.5815138000001,90.70987846,0,2
1273,33.13477962,68.5703911,5.335494995,3024.033669,104.3486263,138.6589254,93.00377161,1,2
1274,51.56489433,117.8558776,5.353786011,4499.772999,109.966458,112.5778366,83.02918797,0,0
1275,26.73073683,55.54198923,5.138624878,2479.591621,101.7156238,151.5071942,105.5808245,1,2
1280,40.98470171,81.66701995,5.052125854,4117.418949,96.91570216,98.74689178,79.94746911,0,0
1281,26.61376547,51.8402807,4.648771362,2236.640079,109.5707119,340.6297148,93.34326767,0,2
1286,6.914474519,1.943644568,0.89336853,1428.281869,105.0110174,121.1537428,106.30413,0,1
1289,40.48540176,96.37952419,6.123651732999999,3833.558932,108.6295925,179.25671119999996,100.5999342,0,0
1292,15.82423961,21.85353526,2.272202759,923.0742088,102.4389253,243.3129514,98.38336382,1,1
1294,12.4130252,16.68695103,2.010863647,1589.97656,98.88236154,226.687386,103.2172512,1,1
1295,25.19606443,40.38389542,3.476116333,4206.636703,90.87963833,137.0527429,81.6464447,1,0
1296,12.17224123,17.73478425,2.231502075,2171.4178920000004,106.7751014,231.6875455,93.80817685,1,2
1298,18.55497388,25.98834026,2.816864624,3013.157098,87.80130497,195.6889541,87.53192403,1,2
1300,34.47030305,69.44244422,5.142221069,3461.871408,109.8432557,313.6357445,88.47505981,0,2
