,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
2213,10.83710832,17.13029045,2.389775391,2193.753442,109.9636135,254.75713109999998,97.35777375,4.445876949,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2219,35.70295220000001,71.62462631,4.995557251,4623.290178,97.49175971,117.9151531,95.13850624,-40.85259839,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2228,28.78796828,45.11727036,3.874189453,3265.403685,109.05004270000002,247.14664199999999,73.24838044,-6.653792709,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2229,43.39152025,92.04592073,5.4518780520000005,3846.413079,109.4390803,95.54818975,84.66780279999998,2.003069598,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2238,17.20206107,25.85392311,2.902721558,3218.729961,103.7580148,260.820983,90.09408442,-24.19704806,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2264,13.92313294,16.93225972,1.981238403,1534.238406,104.45441729999999,209.6627283,92.84489759,21.36960895,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2265,41.85928899,93.79762751,6.235120239,4149.005531,95.27074545,64.9378554,95.28553533,-38.85905902,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2269,54.18836124,114.1122074,5.6427960210000006,5074.99061,109.6914524,38.75700915,72.4900417,-2.727264845,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2292,46.20894076,104.9370467,5.777382202,4852.628473,91.05214628,53.30545861,85.17495531,39.00635059,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2306,25.02388001,45.05742605,4.129817505,3023.870602,106.44002079999999,296.6493791000001,83.78738518,-11.80298295,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2336,15.87526462,22.85586755,2.762772827,3860.4621700000002,107.42465779999999,249.7981417,89.15618192,-18.07514675,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2339,49.6047679,114.04982379999998,5.921946411,5026.595296,108.8645815,47.43329209,81.43872143,-7.117953261,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2351,11.7938168,14.88288204,2.08579895,3942.582056,90.59759768,167.3538095,95.23176487,39.80124489,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2369,12.02187416,19.10173001,2.572831421,1537.4698349999999,102.7535754,249.1861878,89.35690277,-21.04468818,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2382,8.633796317,9.045476667,1.371819458,2937.255026000001,90.24037738,179.0837659,109.22860990000001,-37.81239831,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2393,45.48118659,92.50333021,5.251427612,4412.315468,109.9818751,50.81665962,86.46024214,-3.982978285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2397,23.25534598,39.75163093,3.711664429,2358.141103,88.30237279,237.7072672,88.76568974,-42.46665147,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2411,7.89900937,7.997849906,1.257614136,1050.622903,96.70941524,167.1071094,109.7524459,-30.03776831,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2439,23.0267711,39.82840339,3.816911011,3923.057579,106.35048559999998,303.028927,89.00861644,23.11081486,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2440,33.64166276,65.28654174,4.8740814210000005,4109.209814,109.1476638,304.86996719999996,85.56612787,14.90705913,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2451,51.081869,84.83842837,4.671897583,4372.7973649999985,109.778304,93.10940793,67.32472627,4.328350959,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2461,7.73341379,7.189944284,1.3899792480000002,2653.024566,103.9242546,163.19590369999997,97.63342109,-21.51597277,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2508,16.1512224,25.98512654,2.9187567139999997,1355.4699890000004,108.00037490000001,279.0177805,90.87126386,11.56041198,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2548,29.76950402,48.63423755,3.9605749510000003,3469.4396909999996,109.0468416,254.6004105,75.76367828,-12.92415961,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2555,33.9407304,72.53001145,5.509553832999999,3621.357572,106.42063190000002,139.6315997,98.05124425,-10.50684795,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2566,9.818360315,9.376359658,1.591792603,3417.172236,98.90233507,114.7992502,88.95664866,-29.04285875,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2569,13.90236297,15.54748881,2.246342163,3057.247162,109.9076118,195.21611930000003,76.94933159,0.31359639699999997,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2593,9.784812613,12.96251049,1.87269104,1585.164571,109.36183079999999,212.56862719999998,99.12741466,9.153703306,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2598,12.54603678,11.67377922,1.584289551,2507.88139,90.98801762,163.54249019999997,88.8894927,-36.92946203,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2615,44.26456458,100.8665528,5.8107611079999995,4492.730671,106.1884962,83.42686238,90.47039983,-12.41348998,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2618,9.920463087,16.27891982,2.384833374,2601.111616,106.25820700000001,265.67851310000003,109.27735359999998,-19.31669603,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2636,11.89147415,15.30680558,2.166831665,1664.004494,109.9631263,215.9170102,88.54166647,1.449050496,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2657,16.13782546,28.22142043,3.2220367430000003,1566.0794130000006,102.31738979999999,319.4592753,105.289125,28.60113601,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2664,40.53647329,30.3221272,3.2828839110000003,4001.9623030000002,62.71612392,140.3480387,52.00358803,56.73811654,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2666,25.58342961,47.16380986,4.219645386,2442.252622,92.77083403,193.4093349,104.90940239999999,-40.47753023,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2670,7.71395581,7.572141627000001,1.547958374,3222.879977,103.24617740000001,170.16495980000005,93.36521984,-22.58806205,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2683,31.30477229,62.77794254,4.9539007569999995,4957.651993,100.4428003,174.40911069999999,101.2187855,35.35911249,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
