,Batter_ID,Up_The_Middle_BIP,Up_The_Middle_Hit,Up_The_Middle_BIP+Hit,SS_BIP,SS_Hit,SS_BIP+Hit,3_4_Hole_BIP,3_4_Hole_Hit,3_4_Hole_BIP+Hit,1B_BIP,1B_Hit,1B_BIP+Hit,5_6_Hole_BIP,5_6_Hole_Hit,5_6_Hole_BIP+Hit,2B_BIP,2B_Hit,2B_BIP+Hit,3B_BIP,3B_Hit,3B_BIP+Hit
218,8893483,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219,10000736,0,0,0,2,0,0,0,0,0,0,0,0,1,1,33.33333333,0,0,0,0,0,0
220,8893472,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,663698,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,8889453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
223,8893477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,10000739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
225,8893357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,8893346,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0
227,1000001038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,8900165,4,2,20,0,0,0,3,1,10,1,0,0,0,0,0,2,0,0,0,0,0
229,8880065,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
230,8883175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,674951,10,4,20,3,2,10,1,1,5,1,0,0,2,1,5,0,0,0,3,0,0
232,8894841,0,0,0,1,1,33.33333333,0,0,0,0,0,0,2,2,66.66666667,0,0,0,0,0,0
233,663837,3,2,9.523809524,4,0,0,3,1,4.761904762,1,1,4.761904762,7,2,9.523809524,1,0,0,2,1,4.761904762
234,641787,1,1,25,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,8894839,5,1,4,7,2,8,3,1,4,2,0,0,2,0,0,5,1,4,1,0,0
236,8894849,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,8894845,4,2,11.76470588,2,1,5.882352941,3,1,5.882352941,2,0,0,1,0,0,5,0,0,0,0,0
238,9999668,8,2,10,0,0,0,2,2,10,2,0,0,1,0,0,4,1,5,3,0,0
239,9999677,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
240,8882949,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,8901359,1,1,25,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25,1,0,0
